VALUE,Longitude,Latitude
1.00000000,77.2143185,28.8447052
1.00000000,77.2144209,28.8447035
1.00000000,77.1123848,28.8462506
1.00000000,77.1126922,28.8462458
1.00000000,77.1132044,28.8462378
1.00000000,77.1133069,28.8462362
1.00000000,77.1135118,28.8462330
1.00000000,77.1137167,28.8462298
1.00000000,77.1186342,28.8461526
1.00000000,77.1187366,28.8461510
1.00000000,77.1188391,28.8461494
1.00000000,77.1190439,28.8461461
1.00000000,77.1199660,28.8461316
1.00000000,77.1200684,28.8461300
1.00000000,77.2140093,28.8446201
1.00000000,77.2141117,28.8446184
1.00000000,77.2142141,28.8446167
1.00000000,77.2143166,28.8446150
1.00000000,77.2144190,28.8446133
1.00000000,77.1122806,28.8461620
1.00000000,77.1123830,28.8461604
1.00000000,77.1133050,28.8461460
1.00000000,77.2143147,28.8445248
1.00000000,77.2144171,28.8445231
1.00000000,77.2145196,28.8445215
1.00000000,77.1122787,28.8460718
1.00000000,77.1123812,28.8460702
1.00000000,77.1185281,28.8459738
1.00000000,77.2145176,28.8444313
1.00000000,77.2146201,28.8444296
1.00000000,77.1122769,28.8459816
1.00000000,77.1123794,28.8459800
1.00000000,77.2146182,28.8443394
1.00000000,77.1122733,28.8458012
1.00000000,77.1133947,28.8455130
1.00000000,77.1201562,28.8454068
